mode,granularity,underflow,N,nb,eps,rel_factor_error,abs_factor_error,relative_residual,tile_breakdown,tile_breakdown_kind,source_csv,source_sweep
baseline,n/a,fz,32768,2048,1e-5,0.00029708,0.0430231,3.89337e-05,"fp64=16,fp32=100,fp16=20,fp8_e4m3=120",full,/home/abduraa/MX_project/logs/mx_ooc_data/requant_gt20k_memory.csv,requant_baseline_fp8_subnormal_gt20k
baseline,n/a,fz,32768,2048,1e-6,6.08707e-05,0.00881528,2.94077e-06,"fp64=16,fp32=100,fp16=80,fp8_e4m3=60",full,/home/abduraa/MX_project/logs/mx_ooc_data/requant_gt20k_memory.csv,requant_baseline_fp8_subnormal_gt20k
baseline,n/a,fz,32768,2048,1e-7,1.84717e-06,0.000267507,2.50761e-07,"fp64=16,fp32=122,fp16=70,fp8_e4m3=48",full,/home/abduraa/MX_project/logs/mx_ooc_data/requant_gt20k_memory.csv,requant_baseline_fp8_subnormal_gt20k
baseline,n/a,fz,32768,2048,1e-8,3.69802e-07,5.35547e-05,3.38607e-08,"fp64=98,fp32=106,fp16=12,fp8_e4m3=40",full,/home/abduraa/MX_project/logs/mx_ooc_data/requant_gt20k_memory.csv,requant_baseline_fp8_subnormal_gt20k
baseline,n/a,fz,40960,4096,1e-5,0.000300444,0.054011,2.37618e-05,"fp64=10,fp32=42,fp16=18,fp8_e4m3=30",full,/home/abduraa/MX_project/logs/mx_ooc_data/requant_gt20k_memory.csv,requant_baseline_fp8_subnormal_gt20k
baseline,n/a,fz,40960,4096,1e-6,2.03977e-06,0.00036669,3.77894e-07,"fp64=10,fp32=56,fp16=18,fp8_e4m3=16",full,/home/abduraa/MX_project/logs/mx_ooc_data/requant_gt20k_memory.csv,requant_baseline_fp8_subnormal_gt20k
baseline,n/a,fz,40960,4096,1e-7,1.9945e-06,0.000358553,3.60808e-07,"fp64=10,fp32=60,fp16=14,fp8_e4m3=16",full,/home/abduraa/MX_project/logs/mx_ooc_data/requant_gt20k_memory.csv,requant_baseline_fp8_subnormal_gt20k
baseline,n/a,fz,40960,4096,1e-8,2.58391e-07,4.6451e-05,3.13008e-08,"fp64=52,fp32=32,fp16=6,fp8_e4m3=10",full,/home/abduraa/MX_project/logs/mx_ooc_data/requant_gt20k_memory.csv,requant_baseline_fp8_subnormal_gt20k
baseline,n/a,fz,65536,4096,1e-5,0.000185841,0.0529683,3.50076e-05,"fp64=16,fp32=84,fp8_e4m3=156",full,/home/abduraa/MX_project/logs/mx_ooc_data/requant_gt20k_memory.csv,requant_baseline_fp8_subnormal_gt20k
baseline,n/a,fz,65536,4096,1e-6,2.07123e-06,0.000590342,3.75136e-07,"fp64=16,fp32=84,fp16=80,fp8_e4m3=76",full,/home/abduraa/MX_project/logs/mx_ooc_data/requant_gt20k_memory.csv,requant_baseline_fp8_subnormal_gt20k
baseline,n/a,fz,65536,4096,1e-7,2.07123e-06,0.000590342,3.75136e-07,"fp64=16,fp32=84,fp16=80,fp8_e4m3=76",full,/home/abduraa/MX_project/logs/mx_ooc_data/requant_gt20k_memory.csv,requant_baseline_fp8_subnormal_gt20k
baseline,n/a,fz,65536,4096,1e-8,1.39208e-07,3.96772e-05,2.20094e-08,"fp64=100,fp32=80,fp16=16,fp8_e4m3=60",full,/home/abduraa/MX_project/logs/mx_ooc_data/requant_gt20k_memory.csv,requant_baseline_fp8_subnormal_gt20k
