mode,granularity,underflow,N,nb,eps,rel_factor_error,abs_factor_error,relative_residual,tile_breakdown,tile_breakdown_kind,source_csv,source_sweep
baseline,n/a,fz,32768,2048,1e-5,0.00029708,0.0430231,3.89337e-05,"FP64=16,FP32=100,FP16=20,FP8=120",full,/home/abduraa/MX_project/logs/mx_ooc_data/requant_gt20k_memory.csv,requant_baseline_fp8_subnormal_gt20k
baseline,n/a,fz,32768,2048,1e-6,6.08707e-05,0.00881528,2.94077e-06,"FP64=16,FP32=100,FP16=80,FP8=60",full,/home/abduraa/MX_project/logs/mx_ooc_data/requant_gt20k_memory.csv,requant_baseline_fp8_subnormal_gt20k
baseline,n/a,fz,32768,2048,1e-7,1.84717e-06,0.000267507,2.50761e-07,"FP64=16,FP32=122,FP16=70,FP8=48",full,/home/abduraa/MX_project/logs/mx_ooc_data/requant_gt20k_memory.csv,requant_baseline_fp8_subnormal_gt20k
baseline,n/a,fz,32768,2048,1e-8,3.69802e-07,5.35547e-05,3.38607e-08,"FP64=98,FP32=106,FP16=12,FP8=40",full,/home/abduraa/MX_project/logs/mx_ooc_data/requant_gt20k_memory.csv,requant_baseline_fp8_subnormal_gt20k
baseline,n/a,fz,40960,4096,1e-5,0.000300444,0.054011,2.37618e-05,"FP64=10,FP32=42,FP16=18,FP8=30",full,/home/abduraa/MX_project/logs/mx_ooc_data/requant_gt20k_memory.csv,requant_baseline_fp8_subnormal_gt20k
baseline,n/a,fz,40960,4096,1e-6,2.03977e-06,0.00036669,3.77894e-07,"FP64=10,FP32=56,FP16=18,FP8=16",full,/home/abduraa/MX_project/logs/mx_ooc_data/requant_gt20k_memory.csv,requant_baseline_fp8_subnormal_gt20k
baseline,n/a,fz,40960,4096,1e-7,1.9945e-06,0.000358553,3.60808e-07,"FP64=10,FP32=60,FP16=14,FP8=16",full,/home/abduraa/MX_project/logs/mx_ooc_data/requant_gt20k_memory.csv,requant_baseline_fp8_subnormal_gt20k
baseline,n/a,fz,40960,4096,1e-8,2.58391e-07,4.6451e-05,3.13008e-08,"FP64=52,FP32=32,FP16=6,FP8=10",full,/home/abduraa/MX_project/logs/mx_ooc_data/requant_gt20k_memory.csv,requant_baseline_fp8_subnormal_gt20k
baseline,n/a,fz,65536,4096,1e-5,0.000185841,0.0529683,3.50076e-05,"FP64=16,FP32=84,FP8=156",full,/home/abduraa/MX_project/logs/mx_ooc_data/requant_gt20k_memory.csv,requant_baseline_fp8_subnormal_gt20k
baseline,n/a,fz,65536,4096,1e-6,2.07123e-06,0.000590342,3.75136e-07,"FP64=16,FP32=84,FP16=80,FP8=76",full,/home/abduraa/MX_project/logs/mx_ooc_data/requant_gt20k_memory.csv,requant_baseline_fp8_subnormal_gt20k
baseline,n/a,fz,65536,4096,1e-7,2.07123e-06,0.000590342,3.75136e-07,"FP64=16,FP32=84,FP16=80,FP8=76",full,/home/abduraa/MX_project/logs/mx_ooc_data/requant_gt20k_memory.csv,requant_baseline_fp8_subnormal_gt20k
baseline,n/a,fz,65536,4096,1e-8,1.39208e-07,3.96772e-05,2.20094e-08,"FP64=100,FP32=80,FP16=16,FP8=60",full,/home/abduraa/MX_project/logs/mx_ooc_data/requant_gt20k_memory.csv,requant_baseline_fp8_subnormal_gt20k
ladder_ieee,n/a,fz,32768,2048,1e-5,8.67119e-07,0.000125576,1.49913e-07,"FP64=16,FP32=186,FP16=4,FP8=50",full,/home/abduraa/MX_project/logs/mx_ooc_data/requant_gt20k_memory.csv,requant_ladder_ieee_gt20k
ladder_ieee,n/a,fz,32768,2048,1e-6,8.6327e-07,0.000125019,1.46857e-07,"FP64=16,FP32=196,FP8=44",full,/home/abduraa/MX_project/logs/mx_ooc_data/requant_gt20k_memory.csv,requant_ladder_ieee_gt20k
ladder_ieee,n/a,fz,32768,2048,1e-7,6.37042e-07,9.22564e-05,1.5346e-07,"FP64=16,FP32=206,FP8=34",full,/home/abduraa/MX_project/logs/mx_ooc_data/requant_gt20k_memory.csv,requant_ladder_ieee_gt20k
ladder_ieee,n/a,fz,32768,2048,1e-8,3.13611e-08,4.54171e-06,2.26344e-09,"FP64=98,FP32=128,FP8=30",full,/home/abduraa/MX_project/logs/mx_ooc_data/requant_gt20k_memory.csv,requant_ladder_ieee_gt20k
ladder_ieee,n/a,fz,40960,4096,1e-5,1.57408e-06,0.000282974,3.33302e-07,"FP64=10,FP32=74,FP8=16",full,/home/abduraa/MX_project/logs/mx_ooc_data/requant_gt20k_memory.csv,requant_ladder_ieee_gt20k
ladder_ieee,n/a,fz,40960,4096,1e-6,1.57408e-06,0.000282974,3.33302e-07,"FP64=10,FP32=74,FP8=16",full,/home/abduraa/MX_project/logs/mx_ooc_data/requant_gt20k_memory.csv,requant_ladder_ieee_gt20k
ladder_ieee,n/a,fz,40960,4096,1e-7,1.04521e-06,0.000187899,3.26697e-07,"FP64=10,FP32=80,FP8=10",full,/home/abduraa/MX_project/logs/mx_ooc_data/requant_gt20k_memory.csv,requant_ladder_ieee_gt20k
ladder_ieee,n/a,fz,40960,4096,1e-8,1.14375e-08,2.05613e-06,1.34943e-09,"FP64=52,FP32=42,FP8=6",full,/home/abduraa/MX_project/logs/mx_ooc_data/requant_gt20k_memory.csv,requant_ladder_ieee_gt20k
ladder_ieee,n/a,fz,65536,4096,1e-5,7.64317e-07,0.000217846,2.45711e-07,"FP64=16,FP32=164,FP8=76",full,/home/abduraa/MX_project/logs/mx_ooc_data/requant_gt20k_memory.csv,requant_ladder_ieee_gt20k
ladder_ieee,n/a,fz,65536,4096,1e-6,7.64317e-07,0.000217846,2.45711e-07,"FP64=16,FP32=164,FP8=76",full,/home/abduraa/MX_project/logs/mx_ooc_data/requant_gt20k_memory.csv,requant_ladder_ieee_gt20k
ladder_ieee,n/a,fz,65536,4096,1e-7,7.64317e-07,0.000217846,2.45847e-07,"FP64=16,FP32=180,FP8=60",full,/home/abduraa/MX_project/logs/mx_ooc_data/requant_gt20k_memory.csv,requant_ladder_ieee_gt20k
ladder_ieee,n/a,fz,65536,4096,1e-8,1.82874e-08,5.21228e-06,2.42114e-09,"FP64=100,FP32=96,FP8=60",full,/home/abduraa/MX_project/logs/mx_ooc_data/requant_gt20k_memory.csv,requant_ladder_ieee_gt20k
ladder_mx_full,tile,fz,32768,2048,1e-5,1.45384e-05,0.00210545,1.93976e-06,"FP64=16,FP32=100,MXFP16=26,MXFP8=64,MXFP4=50",full,/home/abduraa/MX_project/logs/mx_ooc_data/requant_gt20k_memory.csv,requant_ladder_scaled_tile_FTZ_gt20k
ladder_mx_full,tile,fz,32768,2048,1e-6,2.62698e-06,0.000380439,1.5026e-07,"FP64=16,FP32=100,MXFP16=88,MXFP8=8,MXFP4=44",full,/home/abduraa/MX_project/logs/mx_ooc_data/requant_gt20k_memory.csv,requant_ladder_scaled_tile_FTZ_gt20k
ladder_mx_full,tile,fz,32768,2048,1e-7,6.56087e-07,9.50145e-05,1.53378e-07,"FP64=16,FP32=128,MXFP16=68,MXFP8=10,MXFP4=34",full,/home/abduraa/MX_project/logs/mx_ooc_data/requant_gt20k_memory.csv,requant_ladder_scaled_tile_FTZ_gt20k
ladder_mx_full,tile,fz,32768,2048,1e-8,3.13612e-08,4.54172e-06,2.2814e-09,"FP64=98,FP32=108,MXFP16=16,MXFP8=4,MXFP4=30",full,/home/abduraa/MX_project/logs/mx_ooc_data/requant_gt20k_memory.csv,requant_ladder_scaled_tile_FTZ_gt20k
ladder_mx_full,tile,fz,40960,4096,1e-5,1.1861e-05,0.00213225,1.68394e-06,FP32=21;MXFP16=10;FP64=10;MXFP4=8;MXFP8=6;,lower,/home/abduraa/MX_project/ooc-cholesky/fill_4class_matrix/results.csv,ladder_full_tile_fz
ladder_mx_full,tile,fz,40960,4096,1e-6,1.62131e-06,0.000291463,3.33584e-07,FP32=28;FP64=10;MXFP16=9;MXFP4=8;,lower,/home/abduraa/MX_project/ooc-cholesky/fill_4class_matrix/results.csv,ladder_full_tile_fz
ladder_mx_full,tile,fz,40960,4096,1e-7,1.07253e-06,0.000192809,3.26511e-07,FP32=31;FP64=10;MXFP16=6;MXFP4=5;MXFP8=3;,lower,/home/abduraa/MX_project/ooc-cholesky/fill_4class_matrix/results.csv,ladder_full_tile_fz
ladder_mx_full,tile,fz,40960,4096,1e-8,1.40948e-08,2.53383e-06,2.27125e-09,FP64=31;FP32=16;MXFP16=3;MXFP4=3;MXFP8=2;,lower,/home/abduraa/MX_project/ooc-cholesky/fill_4class_matrix/results.csv,ladder_full_tile_fz
ladder_mx_full,tile,fz,65536,4096,1e-5,1.56446e-05,0.00445904,2.62667e-06,FP32=42;MXFP8=40;MXFP4=38;FP64=16;,lower,/home/abduraa/MX_project/ooc-cholesky/fill_4class_matrix/results.csv,ladder_full_tile_fz
ladder_mx_full,tile,fz,65536,4096,1e-6,7.80013e-07,0.000222319,2.4601e-07,FP32=42;MXFP16=40;MXFP4=38;FP64=16;,lower,/home/abduraa/MX_project/ooc-cholesky/fill_4class_matrix/results.csv,ladder_full_tile_fz
ladder_mx_full,tile,fz,65536,4096,1e-7,7.70256e-07,0.000219539,2.45611e-07,FP32=58;MXFP4=30;MXFP16=24;FP64=16;MXFP8=8;,lower,/home/abduraa/MX_project/ooc-cholesky/fill_4class_matrix/results.csv,ladder_full_tile_fz
ladder_mx_full,tile,fz,65536,4096,1e-8,1.75585e-08,5.00453e-06,2.34086e-09,FP64=58;FP32=40;MXFP4=30;MXFP16=8;,lower,/home/abduraa/MX_project/ooc-cholesky/fill_4class_matrix/results.csv,ladder_full_tile_fz
ladder_mx_full,tile,gu,32768,2048,1e-5,8.08059e-05,0.0117023,2.86216e-06,FP32=50;MXFP8=33;MXFP4=27;FP64=16;MXFP16=10;,lower,/home/abduraa/MX_project/ooc-cholesky/ladder_full_gu_missing/results.csv,ladder_full_tile_gu
