mode	N	nb	eps	M	tiles_total	FP64_tiles	FP32_tiles	FP16_tiles	MXFP16_tiles	MXFP8_tiles	MXFP4_tiles	FP8_plain_tiles	FP64_gb	FP32_gb	FP16_gb	MXFP16_gb	MXFP8_gb	MXFP4_gb	FP8_plain_gb	Scale_gb	total_gb
fp8	20480	4096	1e-5	5	15	5	7	1	0	0	0	2	0.312576	0.437500	0.031250	0.000000	0.000000	0.000000	0.031250	0.000000	0.812576
fp8	20480	4096	1e-6	5	15	5	7	2	0	0	0	1	0.312576	0.437500	0.062500	0.000000	0.000000	0.000000	0.015625	0.000000	0.828201
fp8	20480	4096	1e-7	5	15	5	9	0	0	0	0	1	0.312576	0.562500	0.000000	0.000000	0.000000	0.000000	0.015625	0.000000	0.890701
fp8	20480	4096	1e-8	5	15	11	3	0	0	0	0	1	1.062576	0.187500	0.000000	0.000000	0.000000	0.000000	0.015625	0.000000	1.265701
fp8	32768	4096	1e-5	8	36	8	18	0	0	0	0	10	0.500122	1.125000	0.000000	0.000000	0.000000	0.000000	0.156250	0.000000	1.781372
fp8	32768	4096	1e-6	8	36	8	18	5	0	0	0	5	0.500122	1.125000	0.156250	0.000000	0.000000	0.000000	0.078125	0.000000	1.859497
fp8	32768	4096	1e-7	8	36	8	18	8	0	0	0	2	0.500122	1.125000	0.250000	0.000000	0.000000	0.000000	0.031250	0.000000	1.906372
fp8	32768	4096	1e-8	8	36	22	10	2	0	0	0	2	2.250122	0.625000	0.062500	0.000000	0.000000	0.000000	0.031250	0.000000	2.968872
fp8	40960	4096	1e-5	10	55	10	21	9	0	0	0	15	0.625153	1.312500	0.281250	0.000000	0.000000	0.000000	0.234375	0.000000	2.453278
fp8	40960	4096	1e-6	10	55	10	28	9	0	0	0	8	0.625153	1.750000	0.281250	0.000000	0.000000	0.000000	0.125000	0.000000	2.781403
fp8	40960	4096	1e-7	10	55	10	30	7	0	0	0	8	0.625153	1.875000	0.218750	0.000000	0.000000	0.000000	0.125000	0.000000	2.843903
