n	nb	nt	eps	tiles	FP64	FP32	MXFP16	MXFP8	MXFP4	FP16	FP8_plain	file
20480	4096	5	1e-8	15	11	3	0	1	0	0	0	ladder_ftz_N20480_nb4096_eps1e-8.tilemap
20480	4096	5	1e-7	15	5	9	0	0	1	0	0	ladder_ftz_N20480_nb4096_eps1e-7.tilemap
20480	4096	5	1e-6	15	5	7	2	0	1	0	0	ladder_ftz_N20480_nb4096_eps1e-6.tilemap
20480	4096	5	1e-5	15	5	7	1	1	1	0	0	ladder_ftz_N20480_nb4096_eps1e-5.tilemap
32768	4096	8	1e-8	36	22	10	2	0	2	0	0	ladder_ftz_N32768_nb4096_eps1e-8.tilemap
32768	4096	8	1e-7	36	8	18	8	0	2	0	0	ladder_ftz_N32768_nb4096_eps1e-7.tilemap
32768	4096	8	1e-6	36	8	18	5	3	2	0	0	ladder_ftz_N32768_nb4096_eps1e-6.tilemap
32768	4096	8	1e-5	36	8	18	0	5	5	0	0	ladder_ftz_N32768_nb4096_eps1e-5.tilemap
40960	4096	10	1e-8	55	31	16	3	2	3	0	0	ladder_ftz_N40960_nb4096_eps1e-8.tilemap
40960	4096	10	1e-7	55	10	30	7	3	5	0	0	ladder_ftz_N40960_nb4096_eps1e-7.tilemap
40960	4096	10	1e-6	55	10	28	9	0	8	0	0	ladder_ftz_N40960_nb4096_eps1e-6.tilemap
40960	4096	10	1e-5	55	10	21	9	7	8	0	0	ladder_ftz_N40960_nb4096_eps1e-5.tilemap
65536	4096	16	1e-8	136	58	40	8	0	30	0	0	ladder_ftz_N65536_nb4096_eps1e-8.tilemap
65536	4096	16	1e-7	136	16	42	40	8	30	0	0	ladder_ftz_N65536_nb4096_eps1e-7.tilemap
65536	4096	16	1e-6	136	16	42	40	0	38	0	0	ladder_ftz_N65536_nb4096_eps1e-6.tilemap
65536	4096	16	1e-5	136	16	42	0	40	38	0	0	ladder_ftz_N65536_nb4096_eps1e-5.tilemap
81920	4096	20	1e-8	210	76	72	26	8	28	0	0	ladder_ftz_N81920_nb4096_eps1e-8.tilemap
81920	4096	20	1e-7	210	39	79	42	14	36	0	0	ladder_ftz_N81920_nb4096_eps1e-7.tilemap
81920	4096	20	1e-6	210	20	86	41	14	49	0	0	ladder_ftz_N81920_nb4096_eps1e-6.tilemap
81920	4096	20	1e-5	210	20	62	34	31	63	0	0	ladder_ftz_N81920_nb4096_eps1e-5.tilemap
98304	4096	24	1e-8	300	117	92	36	9	46	0	0	ladder_ftz_N98304_nb4096_eps1e-8.tilemap
98304	4096	24	1e-7	300	56	101	69	20	54	0	0	ladder_ftz_N98304_nb4096_eps1e-7.tilemap
98304	4096	24	1e-6	300	24	111	69	22	74	0	0	ladder_ftz_N98304_nb4096_eps1e-6.tilemap
98304	4096	24	1e-5	300	24	101	24	55	96	0	0	ladder_ftz_N98304_nb4096_eps1e-5.tilemap
122880	4096	30	1e-8	465	130	155	75	18	87	0	0	ladder_ftz_N122880_nb4096_eps1e-8.tilemap
122880	4096	30	1e-7	465	86	140	92	40	107	0	0	ladder_ftz_N122880_nb4096_eps1e-7.tilemap
122880	4096	30	1e-6	465	30	171	84	35	145	0	0	ladder_ftz_N122880_nb4096_eps1e-6.tilemap
122880	4096	30	1e-5	465	30	128	59	68	180	0	0	ladder_ftz_N122880_nb4096_eps1e-5.tilemap
